active,additionalInfoLink,archiveDate,archiveType,award,baseType,classificationCode,description,fullParentPathCode,fullParentPathName,links,naicsCode,naicsCodes,noticeId,officeAddress.city,officeAddress.countryCode,officeAddress.state,officeAddress.zipcode,organizationType,placeOfPerformance,placeOfPerformance.city.code,placeOfPerformance.city.name,placeOfPerformance.country.code,placeOfPerformance.country.name,placeOfPerformance.state.code,placeOfPerformance.state.name,placeOfPerformance.streetAddress,placeOfPerformance.streetAddress2,placeOfPerformance.zip,pointOfContact,postedDate,resourceLinks,responseDeadLine,solicitationNumber,title,type,typeOfSetAside,typeOfSetAsideDescription,uiLink
Yes,,2025-07-29,auto15,,Presolicitation,Z1AZ,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=0111b7ad019a45e6983a10c94d580a16,014.1443.140P84,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR PORE MABO (84000)","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=0111b7ad019a45e6983a10c94d580a16&limit=1'}]",236220,['236220'],0111b7ad019a45e6983a10c94d580a16,POINT REYES STATION,USA,CA,94956,OFFICE,,46058,Marshall,USA,UNITED STATES,CA,California,,,94940,"[{'fax': None, 'type': 'primary', 'email': 'alanna_gardner@nps.gov', 'phone': '415-858-9668', 'title': None, 'fullName': 'Gardner, Alanna'}]",2025-06-15,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/010584cc1cba4336a17ce27270d7ce34/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/08b24817163640d189eb56d108926efc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/53f5c31af29448aba1fd271a53972446/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/55723aa1abaf42fda70350bb9aa3c169/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b3ea74d596614c5dbad2cabfa8161af6/download']",2025-07-14T15:00:00-07:00,140P8425R0002,"Dunn Main House Rehabilitation, NPS-PORE",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/0111b7ad019a45e6983a10c94d580a16/view
Yes,,2025-07-09,auto15,,Solicitation,Z2FF,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=72770e13498e479b83bef8f82d8ca1d9,015.1540.15BFA0,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FAO","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=72770e13498e479b83bef8f82d8ca1d9&limit=1'}]",238290,['238290'],72770e13498e479b83bef8f82d8ca1d9,GRAND PRAIRIE,USA,TX,75051,OFFICE,,60000,Philadelphia,USA,UNITED STATES,PA,Pennsylvania,,,19106,"[{'fax': '', 'type': 'primary', 'email': 'j2xcortez@bop.gov', 'phone': '623-465-5130', 'title': None, 'fullName': 'Joshua Cortez'}]",2025-06-14,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/20fc9ce6b38648dc943fc6de0f21669b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/366dd37dda60496a9bc90cb7d8eaa1be/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3e813223a0fe4a149a5cb4c7d027e6df/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/43773c83af6547f7ab766f954e4804d1/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/504e71f3aeb04c628bcb0b91b5f44f31/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/58c48ece918a4631b7e7b4e6e05ae360/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9a5c458e81ac47ada73024675001d392/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9aa7da74c24a4351abfa1dcd9ea30dda/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b19ed44345a34582a20cc1d084748bbc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c0cbbc6fa3e9436399346bd301cd031f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c76e8983c71f411c92884cc267f445a2/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/cf9fb39e969a40b18fa22d276e07ddbb/download']",2025-06-24T12:00:00-07:00,15BFA025B00000019,Elevator Modernization- FDC Philadelphia,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/72770e13498e479b83bef8f82d8ca1d9/view
Yes,,2025-07-11,auto15,,Solicitation,5360,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe13ed6674bf4f1eba934281c18c920b,070.7008.70Z085,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 2(00085)","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=fe13ed6674bf4f1eba934281c18c920b&limit=1'}]",333618,['333618'],fe13ed6674bf4f1eba934281c18c920b,ALAMEDA,USA,CA,94501,OFFICE,,,,,,,,,,,"[{'fax': '', 'type': 'primary', 'email': 'stephanie.a.garity@uscg.mil', 'phone': '4107626496', 'title': None, 'fullName': 'Stephanie Garity'}, {'fax': '', 'type': 'secondary', 'email': 'daniel.j.nieves@uscg.mil', 'phone': '4107626696', 'title': None, 'fullName': 'Daniel J. Nieves'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d2e5a6fc8d554261951107fa1de879b8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e0f3385e0caf468ab44e0cc60b1ebd8d/download']",2025-06-26T12:00:00-04:00,70Z08525Q30043B00,ARTICULATED BLADE ASSEMBLY,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/fe13ed6674bf4f1eba934281c18c920b/view
Yes,,2025-07-15,auto15,,Solicitation,4310,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fc14539340c14093b7cd974cd328840d,057.5700.AETC.FA3022,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.FA3022 14 CONS LGCA,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=fc14539340c14093b7cd974cd328840d&limit=1'}]",333998,['333998'],fc14539340c14093b7cd974cd328840d,COLUMBUS,USA,MS,39710-0001,OFFICE,,15380,Columbus,USA,UNITED STATES,MS,Mississippi,,,39710,"[{'fax': '', 'type': 'primary', 'email': 'carlius.bankhead@us.af.mil', 'phone': '6624343292', 'title': None, 'fullName': 'Jaelin Bankhead'}, {'fax': '', 'type': 'secondary', 'email': 'willie.common.1@us.af.mil', 'phone': '6624347780', 'title': None, 'fullName': 'Willie Common'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/108715d0b5534961ae65c03c01f9e09e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3092703a0d48469b9fb67280808ef437/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ceb82ad73cf74232a6e2747bfadc0ccb/download']",2025-06-30T12:00:00-05:00,FA3022-25-Q-0304,Pool Pump Replacement,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/fc14539340c14093b7cd974cd328840d/view
Yes,,2025-07-01,auto15,,Solicitation,6350,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f672210c7b7a40c5acf5b20b6c426d21,057.5700.AFGSC.FA4661,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE GLOBAL STRIKE COMMAND.FA4661  7 CONS CD,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=f672210c7b7a40c5acf5b20b6c426d21&limit=1'}]",561621,['561621'],f672210c7b7a40c5acf5b20b6c426d21,DYESS AFB,USA,TX,79607-1581,OFFICE,,,,USA,UNITED STATES,TX,Texas,,,79607,"[{'fax': '', 'type': 'primary', 'email': 'samuel.gonzales.1@us.af.mil', 'phone': '3256962289', 'title': None, 'fullName': 'Samuel Gonzales'}, {'fax': '', 'type': 'secondary', 'email': 'taylor.norris@us.af.mil', 'phone': '3256962353', 'title': None, 'fullName': 'Taylor Norris'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/06e7c19f85d14b058e5a6f71a1b35f85/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/180804da3792466793eccb16a98c4a07/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/314357834bf4424bbeb8f4253f4204a7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/35691d1d75834b049b7b29a879773924/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/37b63885f7cf42bfbcedce0d14d5614d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a8a1db3bcf9d4bed91b8c5decd1b67f7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/aaae73291cb34fbe8259805cb789989f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad86e3c2c837465ca70771d4c8ff2425/download']",2025-06-16T15:00:00-05:00,FA466125Q0118,Dyess AFB - Honeywell Vindicator Intrusion Detection System (V3),Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/f672210c7b7a40c5acf5b20b6c426d21/view
Yes,,2025-06-28,autocustom,,Solicitation,3695,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=efccc77d85f14676bf192d0eb21432da,020.2041.2031ZA,"TREASURY, DEPARTMENT OF THE.BUREAU OF ENGRAVING AND PRINTING.OFFICE OF THE CHIEF PROCUREMENT OFFICER","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=efccc77d85f14676bf192d0eb21432da&limit=1'}]",333248,['333248'],efccc77d85f14676bf192d0eb21432da,WASHINGTON,USA,DC,20228,OFFICE,,50000,Washington,USA,UNITED STATES,DC,District of Columbia,,,20228,"[{'fax': '', 'type': 'primary', 'email': 'erica.hemphill@bep.gov', 'phone': '', 'title': None, 'fullName': 'Erica Hemphill'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/13033f5722d0434891b55e2ff75fe618/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/14cd65688b184dd189029b670f2d2453/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d0651c645ceb445d9c0f529f3aed7490/download']",2025-06-27T14:00:00-04:00,2031ZA25R00025,Consumable Repair and Spare Parts for Physical Vapor Deposition (PVD) System,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/efccc77d85f14676bf192d0eb21432da/view
Yes,,2025-07-25,auto15,,Solicitation,AR13,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e4d7c03375ec4e52a0ca99c4845131eb,017.1700.ONR.ONR NRL.N00173,DEPT OF DEFENSE.DEPT OF THE NAVY.ONR.ONR NRL.NAVAL RESEARCH LABORATORY,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=e4d7c03375ec4e52a0ca99c4845131eb&limit=1'}]",541715,['541715'],e4d7c03375ec4e52a0ca99c4845131eb,WASHINGTON,USA,DC,20375-5328,OFFICE,,,,USA,UNITED STATES,DC,District of Columbia,,,20375,"[{'fax': '', 'type': 'primary', 'email': 'candice.a.tawiah.civ@us.navy.mil', 'phone': '', 'title': None, 'fullName': 'Candice Tawiah'}, {'fax': None, 'type': 'secondary', 'email': 'callan.t.walsh.mil@us.navy.mil', 'phone': None, 'title': None, 'fullName': 'CDR Callan Walsh'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/36bad106744b4dfe9d3e9779594de2ce/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4f2b40b9cb694cf78f4b28462637342f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5c094692c1d6457096405f8503ef4bd8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7720786f89414287a92a54fc5015caf3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7ac81298e1154d00b83a0d11ef84cf4d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/989f4b94454b4d468b065f809129ba39/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9a0d47c45c11468aa4d8553f5e157fff/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a4d8d89dbd334ae0a2d7cb51ab1046e2/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ce20eeebad2e431a8ab7f976bceb918a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d0ef29e4fe534c369dd4beffe1088ffe/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d7f1dc7c365d4f0e8f7aa1862720e191/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e96ec055e73842ddb326b3df20e66ca3/download']",2025-07-10T14:00:00-04:00,N00173-25-R-2440,"Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR) Development, Support and Integration",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/e4d7c03375ec4e52a0ca99c4845131eb/view
Yes,,2025-07-08,auto15,,Solicitation,R423,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e267cbe1b4fa43d2a3e0f111b23b8c3b,015.1549.15F084,"JUSTICE, DEPARTMENT OF.FEDERAL BUREAU OF INVESTIGATION.FBI - REDSTONE ARSENAL","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=e267cbe1b4fa43d2a3e0f111b23b8c3b&limit=1'}]",541611,['541611'],e267cbe1b4fa43d2a3e0f111b23b8c3b,REDSTONE ARSENAL,USA,AL,35898,OFFICE,,63912,Redstone Arsenal,USA,UNITED STATES,AL,Alabama,,,35898,"[{'fax': None, 'type': 'primary', 'email': 'dsampson@fbi.gov', 'phone': '771-231-0315', 'title': None, 'fullName': 'Derek Sampson'}, {'fax': '', 'type': 'secondary', 'email': 'swalker4@fbi.gov', 'phone': '2566784379', 'title': None, 'fullName': 'Stevon Walker'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/03d99992d5e246f1855a252dd4dfb156/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0cd10471ebca4d66817bba3cbfa65a59/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1191b3ac0f2c4e88a24b7cf1b34e8557/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/21173ee189e14787b2eff455e1ac5fab/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/420f4f90452f4804bf6d1007e780055e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/480acd0de9a34c23b33066e93c278eaf/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6f3da33d9c9648c4937c27d6ca9ccdb8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/78cb6fa801e94387a79be901a6e75ea1/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/79f5d6d8a4474d7d8a3cc66057673209/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8c42dbbd86984e51860ccf73b881b6d2/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b1b5e9d8eeb6485886a47ea033a262b9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b423daa55da045ad94f668b52aa32c31/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b87dca2aa10f4d30b5cf8ff47831173f/download']",2025-06-23T13:00:00-05:00,15F06725R0000245,Intelligence Analysts Support Services,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/e267cbe1b4fa43d2a3e0f111b23b8c3b/view
Yes,,2025-06-18,autocustom,,Solicitation,5410,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=dfac480434b941bca58fad4bc59b3504,017.1700.NAVSEA.NAVSEA SHIPYARD.N39040,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA SHIPYARD.PORTSMOUTH NAVAL SHIPYARD GF,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=dfac480434b941bca58fad4bc59b3504&limit=1'}]",562991,['562991'],dfac480434b941bca58fad4bc59b3504,PORTSMOUTH,USA,NH,03801-5000,OFFICE,,,,USA,UNITED STATES,CA,California,,,92106,"[{'fax': '', 'type': 'primary', 'email': 'christie.j.ashcraft.civ@us.navy.mil', 'phone': '2074517549', 'title': None, 'fullName': 'Christie Ashcraft'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6e88fb5e1cd942ea81a41822eb4d5c56/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/eb01b54519044ccbae11d6bba020b581/download']",2025-06-18T17:00:00-04:00,N3904025Q3022,Rental of (2) Chem Toilets,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/dfac480434b941bca58fad4bc59b3504/view
Yes,,2025-07-15,autocustom,,Presolicitation,3950,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=df0f2cbb63b14ad9a89f86cd0fd5f87b,021.2100.W912CH,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC WRN.W6QK ACC- DTA,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=df0f2cbb63b14ad9a89f86cd0fd5f87b&limit=1'}]",333923,['333923'],df0f2cbb63b14ad9a89f86cd0fd5f87b,WARREN,USA,MI,48397-5000,OFFICE,,,,USA,UNITED STATES,,,,,,"[{'fax': '', 'type': 'primary', 'email': 'haley.r.bruns.civ@army.mil', 'phone': '5206928433', 'title': None, 'fullName': 'Haley Bruns'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b55bc5ca40ca42e380e9872afeca8584/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fa7524402a334c14b882eff11437763e/download']",2025-07-14T15:00:00-04:00,W912CH-25-Q-0020,"Solicitation - Winch, Drum, Hand Ope. NSN: 3950-01-136-4806",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/df0f2cbb63b14ad9a89f86cd0fd5f87b/view
